IM,NM,DR,RG,CM,TL,AT,Horario
9057,EASYFARMA OVALLE,avenida manuel peñafiel olivares 1480 ,4,40,+56984467182,0,"{'semana': 'Sábado y Domingo: Cerrado<br>', 'dia': 'Lunes: Cerrado', 'turno': ''}"
6714,EBEN EZER,estados unidos 1299,13,297,,0,"{'semana': 'Lunes - Sábado: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>', 'turno': ''}"
8188,EBEN EZER,avenida de la victoria 2279,13,313,,0,"{'semana': 'Lunes - Sábado: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>', 'turno': ''}"
991,EBEN EZER,av. trinidad  poniente 1420,13,304,+560222911421,0,"{'semana': 'Lunes - Sábado: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>', 'turno': ''}"
7917,ECO FARMA,avenida recoleta 6052,13,301,,0,"{'semana': 'Lunes - Viernes: 11:00 a 19:00 hrs.<br>Sábado: 11:00 a 16:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 11:00 a 19:00 hrs.<br>', 'turno': ''}"
4856,ECO FARMACIA,prat n°911,5,77,,0,"{'semana': 'Lunes - Viernes: 09:00 a 21:00 hrs.<br>Sábado y Domingo: Cerrado<br>Festivos: 09:00 a 21:00 hrs.<br>', 'dia': 'Lunes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
7188,ECO FARMACIAS,"monumento n° 1961, centro comercial pumay",13,313,,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado: 10:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
9159,Eco Farmacias,eyzaguirre 517,13,333,,0,"{'semana': 'Sábado y Domingo: Cerrado<br>', 'dia': 'Lunes: Cerrado', 'turno': ''}"
7706,ECO FARMACIAS,avenida recoleta n° 313,13,321,,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado: 10:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
6728,ECO FARMACIAS,avenida irrarazaval 2879,13,314,,0,"{'semana': 'Lunes - Viernes: 10:00 a 14:00 y 15:00 a 19:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 14:00 y 15:00 a 19:00 hrs.<br>', 'turno': ''}"
7131,ECO FARMACIAS,"serafin zamora 29, local 19, centro comercial la rotonda",13,304,,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado: 10:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
7341,ECO FARMACIAS,providencia 2076,13,317,,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
7698,ECO FARMACIAS,avenida libertador bernardo o'higgins n° 991,13,295,,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado: 10:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
5664,ECOFARMACIA,valparaiso 539 l-5,5,53,+562270440,0,"{'semana': 'Lunes - Sábado: 09:00 a 17:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 17:30 hrs.<br>', 'turno': ''}"
3212,ECOFARMACIA,maipu n°256,5,55,+56322270464,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
5966,ECOFARMACIA,av. valparaíso 988,5,53,+562270444,0,"{'semana': 'Lunes - Sábado: 09:00 a 17:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 17:30 hrs.<br>', 'turno': ''}"
8107,ECOFARMACIA,providencia 1312,13,317,,0,"{'semana': 'Sábado y Domingo: Cerrado<br>', 'dia': 'Lunes: Cerrado', 'turno': ''}"
6887,ECOFARMACIA,pedro montt 1868,5,45,+562270400,0,"{'semana': 'Lunes - Viernes: 09:00 a 20:00 hrs.<br>Sábado: 09:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 20:00 hrs.<br>', 'turno': ''}"
7128,ECOFARMACIA,esmeralda 301,5,55,,0,"{'semana': 'Lunes - Sábado: 09:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
6329,ECOFARMACIA,av. cardenal samore 2290 l-14 placilla,5,45,+562270408,0,"{'semana': 'Lunes - Sábado: 09:00 a 17:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 17:30 hrs.<br>', 'turno': ''}"
51,ECOFARMACIAS,portales n° 776,5,50,+5641405,0,"{'semana': 'Lunes - Domingo: 09:00 a 22:00 hrs.<br>Festivos: 09:00 a 22:00 hrs.<br>', 'dia': 'Lunes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
5482,ECOFARMACIAS,av. pedro montt 1772,5,45,+56322270426,0,"{'semana': 'Lunes - Sábado: 09:00 a 17:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 17:30 hrs.<br>', 'turno': ''}"
52,ECOFARMACIAS,claudio vicuña n ° 651,5,50,+56392911449,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 21:30 hrs.<br>', 'turno': ''}"
29,ECOFARMACIAS,"o´higgins 176, lb2",5,64,+56332342235,0,"{'semana': 'Lunes - Sábado: 09:00 a 17:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 17:30 hrs.<br>', 'turno': ''}"
246,ECOFARMACIAS,av. humeres n° 688,5,60,+56332761259,0,"{'semana': 'Lunes - Sábado: 09:30 a 21:30 hrs.<br>Domingo: Cerrado<br>Festivos: 10:00 a 14:00 hrs.<br>', 'dia': 'Lunes: 09:30 a 21:30 hrs.<br>', 'turno': ''}"
71,ECOFARMACIAS,av.valparaiso n° 855,5,52,+562541409,0,"{'semana': 'Lunes - Domingo: 09:00 a 22:00 hrs.<br>', 'dia': 'Lunes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
72,ECOFARMACIAS,latorre n° 51,5,52,+562959620,0,"{'semana': 'Lunes - Domingo: 09:00 a 20:30 hrs.<br>', 'dia': 'Lunes: 09:00 a 20:30 hrs.<br>', 'turno': ''}"
139,ECOFARMACIAS,av. valparaiso 421,5,53,+56322270434,0,"{'semana': 'Lunes - Sábado: 09:00 a 17:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 17:30 hrs.<br>', 'turno': ''}"
5269,ECOFARMACIAS,condell 1201,5,45,+56322270428,0,"{'semana': 'Lunes - Sábado: 09:00 a 17:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 17:30 hrs.<br>', 'turno': ''}"
6052,ECOFARMACIAS,bellavista 418,5,45,+562270432,0,"{'semana': 'Lunes - Sábado: 09:00 a 17:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 17:30 hrs.<br>', 'turno': ''}"
4446,ECOFARMACIAS,av. valparaiso 684,5,53,+56322270442,0,"{'semana': 'Lunes - Sábado: 09:00 a 17:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 17:30 hrs.<br>', 'turno': ''}"
6640,ECOFARMACIAS,republica 257,5,68,+562270400,0,"{'semana': 'Lunes - Sábado: 09:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
142,ECOFARMACIAS,av. valparaiso 206,5,53,+56322270436,0,"{'semana': 'Lunes - Viernes: 09:00 a 17:30 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 17:30 hrs.<br>', 'turno': ''}"
253,ECOFARMACIAS,ortiz de rozas n° 434,5,59,+56332333468,0,"{'semana': 'Lunes: 09:00 a 14:30 y 15:00 a 19:30 hrs.<br>Martes - Sábado: 09:00 a 19:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 14:30 y 15:00 a 19:30 hrs.<br>', 'turno': ''}"
6611,ECOFARMACIAS,claudio vicuña 836,5,50,+562270400,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
292,ECOFARMACIAS,balmaceda n° 57,5,79,+56342613878,0,"{'semana': 'Lunes - Viernes: 09:00 a 21:00 hrs.<br>Sábado: 09:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
254,ECOFARMACIAS,ortiz de rozas n° 498,5,59,"+56713253, 3",0,"{'semana': 'Lunes - Sábado: 09:00 a 22:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 22:30 hrs.<br>', 'turno': ''}"
4135,ECOFARMACIAS,valparaiso nº 630,5,52,,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
4244,ECOFARMACIAS,avenida pedro montt 2765 lc 02,5,45,+5632322270430 / 991580643,0,"{'semana': 'Lunes - Sábado: 09:00 a 17:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 17:30 hrs.<br>', 'turno': ''}"
345,ECOFARMACIAS,prat n°776,5,77,+56342345132,0,"{'semana': 'Lunes - Sábado: 08:30 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 08:30 a 21:00 hrs.<br>', 'turno': ''}"
325,ECOFARMACIAS,blanco 946,5,50,+562543168,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
5899,ECOFARMACIAS,arturo prat nº692-a,5,77,+56951488691,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
5543,ECOFARMACIAS,los lunes n°13 quilpué,5,50,+562270418,0,"{'semana': 'Lunes - Sábado: 09:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
491,ECOFARMACIAS,av. libertad 1279 l-1,5,53,+56322270438,0,"{'semana': 'Lunes - Sábado: 09:00 a 17:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 17:30 hrs.<br>', 'turno': ''}"
26,ECOFARMACIAS,urmeneta 84,5,68,+562342303,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>Festivos: 10:00 a 14:00 hrs.<br>', 'dia': 'Lunes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
50,ECOFARMACIAS,blanco n° 937,5,50,+5641127,0,"{'semana': 'Lunes - Sábado: 09:30 a 21:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:30 a 21:30 hrs.<br>', 'turno': ''}"
3613,ECONAT,constitución 636,4,36,+562523272,0,"{'semana': 'Lunes - Sábado: 10:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 21:00 hrs.<br>', 'turno': ''}"
