IM,NM,DR,RG,CM,TL,AT,Horario
7027,FARMA VIÑA,5 norte 430 l-12 y 13,5,53,+5696791206,0,"{'semana': 'Lunes - Viernes: 09:30 a 20:00 hrs.<br>Sábado: 10:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:30 a 20:00 hrs.<br>', 'turno': ''}"
7243,FARMA VITALITY,santa beatriz n°113,13,317,,1,"{'semana': 'Lunes - Sábado: 09:00 a 14:00 y 16:00 a 20:00 hrs.<br>Domingo: 10:00 a 18:00 hrs.<br>Festivos: 10:00 a 18:00 hrs.<br>', 'dia': 'Lunes: 09:00 a 14:00 y 16:00 a 20:00 hrs.<br>', 'turno': ''}"
4225,FARMA-MARKET,balmaceda 4316. local 3. la islita,13,344,,0,"{'semana': 'Lunes - Sábado: 09:00 a 22:30 hrs.<br>Domingo: 09:00 a 21:00 hrs.<br>Festivos: 09:00 a 21:00 hrs.<br>', 'dia': 'Lunes: 09:00 a 22:30 hrs.<br>', 'turno': ''}"
1363,FARMA-MARKET,el manzano 285,13,345,+560228341225,0,"{'semana': 'Lunes - Domingo: 09:00 a 10:30 hrs.<br>Festivos: 09:00 a 10:30 hrs.<br>', 'dia': 'Lunes: 09:00 a 10:30 hrs.<br>', 'turno': ''}"
923,FARMA-MARKET,galvez 06,13,344,+560228190180,0,"{'semana': 'Lunes - Sábado: 08:30 a 23:00 hrs.<br>Domingo: 09:30 a 22:00 hrs.<br>', 'dia': 'Lunes: 08:30 a 23:00 hrs.<br>', 'turno': ''}"
1959,FARMA-MARKET,balmaceda 1147,13,342,+560228156170,0,"{'semana': 'Lunes - Sábado: 09:00 a 22:30 hrs.<br>Domingo: 09:00 a 21:00 hrs.<br>', 'dia': 'Lunes: 09:00 a 22:30 hrs.<br>', 'turno': ''}"
1385,FARMA-MARKET,"av. vicuña mackenna 1374  loc. a,b,c,",13,346,+560228127453,0,"{'semana': 'Lunes - Sábado: 08:30 a 23:00 hrs.<br>Domingo: 09:30 a 21:30 hrs.<br>Festivos: 09:30 a 21:30 hrs.<br>', 'dia': 'Lunes: 08:30 a 23:00 hrs.<br>', 'turno': ''}"
5824,FARMA-MARKET,"avenida miraflores n° 936, local 2",13,346,,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:30 hrs.<br>Domingo: 09:00 a 21:00 hrs.<br>', 'dia': 'Lunes: 09:00 a 21:30 hrs.<br>', 'turno': ''}"
1584,FARMA-ULLOA,gabriela poniente 835,13,327,+560277627817,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
7387,FARMA-ULLOA,nueva providencia 2160 l-46,13,317,,0,"{'semana': 'Lunes - Viernes: 10:00 a 19:00 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 19:00 hrs.<br>', 'turno': ''}"
7459,FARMAAHORRO,avenida rancagua n° 0112,13,317,,0,"{'semana': 'Lunes - Viernes: 10:00 a 19:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 19:00 hrs.<br>', 'turno': ''}"
7705,FARMABARRIO,avenida concha y toro n° 199,13,327,,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado: 09:00 a 18:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
6541,FARMABARRIO,"avenida libertador bernardo o'higgins 4103, torre a, edificio ecocapital",13,300,,0,"{'semana': 'Lunes - Sábado: 09:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
6525,FARMABARRIO,libertador bernardo o’higgins n° 4103,13,295,,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
7110,FARMABARRIO,puente 620,13,295,,0,"{'semana': 'Lunes - Viernes: 10:00 a 19:00 hrs.<br>Sábado: 10:00 a 18:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 19:00 hrs.<br>', 'turno': ''}"
6383,FARMABAST,grajales n° 2167,13,295,,0,"{'semana': 'Lunes - Viernes: 09:00 a 22:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
6782,FARMABAST,agustinas 1555,13,295,,0,"{'semana': 'Lunes - Viernes: 09:00 a 18:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 18:00 hrs.<br>', 'turno': ''}"
6471,FARMABIEN,avenida san pablo n° 1527,13,295,,0,"{'semana': 'Lunes - Sábado: 10:00 a 14:00 y 17:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 14:00 y 17:00 a 21:00 hrs.<br>', 'turno': ''}"
7259,FARMABIEN,avenida irarrázaval 5350,13,314,,0,"{'semana': 'Lunes - Sábado: 10:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 19:00 hrs.<br>', 'turno': ''}"
7057,FARMABIEN,"diez de julio 1319, local 5",13,295,,0,"{'semana': 'Lunes - Sábado: 10:00 a 14:00 y 17:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 14:00 y 17:00 a 21:00 hrs.<br>', 'turno': ''}"
6135,FARMABIEN,dieciocho 690,13,295,,0,"{'semana': 'Lunes - Sábado: 10:00 a 14:00 y 17:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 14:00 y 17:00 a 21:00 hrs.<br>', 'turno': ''}"
7739,FARMABIEN,"pedro de valdivia 2272, local 102",13,317,,0,"{'semana': 'Lunes - Sábado: 10:00 a 14:00 y 17:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 14:00 y 17:00 a 21:00 hrs.<br>', 'turno': ''}"
7012,FARMABIENESTAR SPA,"holanda 286, local 3",13,317,,0,"{'semana': 'Lunes - Viernes: 08:00 a 18:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>Festivos: 10:00 a 15:00 hrs.<br>', 'dia': 'Lunes: 08:00 a 18:00 hrs.<br>', 'turno': ''}"
1840,FARMABIZA,av. libertador bernardo o'higgins 1516,13,295,+560226714500,0,"{'semana': 'Lunes - Viernes: 09:00 a 20:00 hrs.<br>Sábado: 09:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 20:00 hrs.<br>', 'turno': ''}"
4489,FARMAC IA TRI-O FARMA,"arturo fernandez 1371 (acceso por ernesto riquelme) , iquique",1,5,+56572715482,0,"{'semana': 'Lunes - Sábado: 10:00 a 20:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 20:00 hrs.<br>', 'turno': ''}"
6809,FARMACARE,"avenida irarrázaval 2150, local 2a",13,314,,1,"{'semana': 'Lunes - Viernes: 09:30 a 19:30 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:30 a 19:30 hrs.<br>', 'turno': ''}"
4245,FARMACENTER,5 norte nº3471,7,116,+566378,0,"{'semana': 'Lunes - Viernes: 10:00 a 21:00 hrs.<br>Sábado: 10:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 21:00 hrs.<br>', 'turno': ''}"
4953,FARMACENTER,"ruta de la fruta, km 62, el manzano",6,89,,0,"{'semana': 'Lunes - Viernes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>Sábado: 10:00 a 16:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>', 'turno': ''}"
5775,FARMACENTRO,calle bolivia 2833,6,83,,0,"{'semana': 'Martes - Viernes: 13:30 a 20:00 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Lunes: Cerrado', 'turno': ''}"
299,FARMACHILE,simon bolivar 263-a,5,53,+562630526,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
7832,FARMACHILE,"uno poniente nº811, local 101",5,53,+569999,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
5834,FARMACHILE,av. libertad 1059,5,53,+569977649346,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
4001,FARMACHILE,quillota nº 0151,5,53,+562683245,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
3546,FARMACHILE ,sotomayor nº 398,9,210,+56452611305,0,"{'semana': 'Lunes - Viernes: 09:00 a 13:00 y 15:00 a 19:00 hrs.<br>Sábado: 09:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:00 a 13:00 y 15:00 a 19:00 hrs.<br>', 'turno': ''}"
3549,FARMACHILE ,lautaro nº 298,9,201,+562652091,0,"{'semana': 'Lunes: 09:00 a 19:00 hrs.<br>Martes: 09:00 a 19:30 hrs.<br>Miércoles - Sábado: 09:00 a 19:00 hrs.<br>Domingo: 09:00 a 13:00 hrs.<br>', 'dia': 'Lunes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
3152,FARMACIA   LA NACIONAL,colchagua  n° 581,3,26,+56512612542,0,"{'semana': 'Lunes - Viernes: 09:30 a 14:00 y 16:00 a 21:00 hrs.<br>Sábado: 09:30 a 00:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Lunes: 09:30 a 14:00 y 16:00 a 21:00 hrs.<br>', 'turno': ''}"
