IM,NM,DR,RG,CM,TL,AT,Horario
7002,CRONOFARMA,josé victorino lastarria 1219,15,1,,0,"{'semana': 'Lunes - Viernes: 09:00 a 18:00 hrs.<br>Sábado: 10:00 a 13:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 18:00 hrs.<br>', 'turno': ''}"
3328,CRUZ DEL SUR,"avenida los aromos, parcela 29, local8",1,11,+56572495237,0,"{'semana': 'Lunes - Domingo: 10:00 a 16:00 hrs.<br>Festivos: 10:00 a 16:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 16:00 hrs.<br>', 'turno': ''}"
3487,CRUZ VERDE,av. angamos nº785,2,12,+56552258219,0,"{'semana': 'Lunes - Viernes: 08:00 a 23:30 hrs.<br>Sábado - Domingo: 09:00 a 23:00 hrs.<br>Festivos: 09:00 a 23:00 hrs.<br>', 'dia': 'Viernes: 08:00 a 23:30 hrs.<br>', 'turno': ''}"
5580,CRUZ VERDE,"av. angamos n°2170, local 129",2,12,,0,"{'semana': 'Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: Cerrado', 'turno': ''}"
5588,CRUZ VERDE,"avenida diego portales 157, local 304",15,1,,0,"{'semana': 'Lunes - Sábado: 08:30 a 21:00 hrs.<br>Domingo: 10:00 a 20:00 hrs.<br>Festivos: 10:00 a 20:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 21:00 hrs.<br>', 'turno': ''}"
3388,CRUZ VERDE,21 de mayo 299,15,1,+562232396,0,"{'semana': 'Lunes - Viernes: 08:30 a 21:00 hrs.<br>Sábado: 09:00 a 21:00 hrs.<br>Domingo: 09:00 a 20:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 21:00 hrs.<br>', 'turno': ''}"
3391,CRUZ VERDE,21 de mayo 399,15,1,+562233504,0,"{'semana': 'Lunes - Viernes: 08:30 a 21:00 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: 08:30 a 21:00 hrs.<br>', 'turno': ''}"
3392,CRUZ VERDE,cristóbal colón 601,15,1,+562583552,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: 10:00 a 15:00 y 15:45 a 19:00 hrs.<br>Festivos: 10:00 a 15:00 y 15:45 a 19:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
3496,CRUZ VERDE,av. pedro aguirre cerda nº8700,2,12,+56552476330,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: 10:30 a 21:00 hrs.<br>Festivos: 09:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
3394,CRUZ VERDE,18 de septiembre 1063,15,1,+562583578,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>Festivos: 10:00 a 19:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
3396,CRUZ VERDE,18 de septiembre 2501,15,1,+56228700746,0,"{'semana': 'Lunes - Viernes: 08:00 a 21:00 hrs.<br>Sábado: 08:30 a 21:00 hrs.<br>Domingo: 09:00 a 20:00 hrs.<br>Festivos: 09:00 a 20:00 hrs.<br>', 'dia': 'Viernes: 08:00 a 21:00 hrs.<br>', 'turno': ''}"
